param,step_a,taskB,same,note
NPU mxq file (single mode),yolo11s.mxq via global8 fallback,/home/msyu/.cache/huggingface/hub/models--mobilint--YOLO11s/snapshots/8e62b1a90172d70b9292afbc883fdade8de0df24/aries/yolo11s.mxq,True,single/global8 paths fall back to same un-suffixed mxq
infer_mode,"global8 (line 185 'yolo11s.mxq, 640, global8')",single,False,ROOT CAUSE CANDIDATE — different resource allocation may yield different sAP
CONF threshold,0.25,0.25,True,shared from step0_compare_devices
IoU NMS threshold,0.45,0.45,True,shared
imgsz,640,640,True,shared
COCO area thresholds (small <32² <96² <large),pycocotools default 32^2/96^2,pycocotools default 32^2/96^2,True,both use COCOeval defaults
val.json categories,8,8,True,AHD 8 classes
val.json sequences (24 logs),24,24,True,same shared val.json
coco_mapping length,80,80,True,same val.json
pycocotools aggregation,per-log COCOeval; mean across logs (mean±std),per-log COCOeval; mean across logs (mean±std),True,both per-log-then-average; not pooled
warmup-skip frames,30,30,True,shared via _step_d_common
