"tex_line","context_excerpt","src_csv","src_field","semantic_tag","flip_risk","notes"
"90","abstract: ""worst-stream which mean-sAP understates by $1.75$--$3.5\times$""","rev7_main_cmp.csv","worst_mean_ratio_range","worst-mean-gap-magnitude","medium","Range over (L1_light;L2_lm); SizeAware vs Naive at N=4"
"92","abstract: ""loss decomposition attributing $97\%$ of residual loss to quantization"",rev7_decomp.csv","quant_share_of_NPU_loss","quantization-dominance-on-NPU-path","high","If <70% in rev7"," decomposition narrative must be reworked"
"111","intro 2-mechanism: ""$-47\%$ AP on small objects""","rev7_single_stream.csv","rel_AP_small_NPU_minus_GPU","small-loss-relative-magnitude","low","sign should stay negative; magnitude may shift"
"111","intro 2-mechanism: ""$-19.5\%$ on medium""","rev7_single_stream.csv","rel_AP_medium_NPU_minus_GPU","medium-loss-relative-magnitude","low","sign stable"
"111","intro 2-mechanism: ""$\approx0$ on large""","rev7_single_stream.csv","rel_AP_large_NPU_minus_GPU","large-loss-near-zero-claim","high","SEMANTIC-LOCK: if measured rel_Q_large in rev7 exceeds 5% in magnitude this prose is wrong"
"126","intro: ""understates the relevant gap by $1.75$--$3.5\times$""","rev7_main_cmp.csv","worst_mean_ratio_range","worst-mean-gap-magnitude","medium","redundant with abstract"
"137","§1.5 worst-stream metric: ""$1.75$--$3.5\times$ larger""","rev7_main_cmp.csv","worst_mean_ratio_range","worst-mean-gap-magnitude","medium","redundant"
"140","§1.5 supporting evidence: ""attributing $97\%$ of the residual full-offload loss to INT8 quantization""","rev7_decomp.csv","quant_share_of_NPU_loss","quantization-dominance-on-NPU-path","high","SEMANTIC-LOCK target"
"410","tab:single-stream AP_medium row: ""$-0.036$ ($-19.5\%$""","rev7_single_stream.csv","Q_medium_abs_and_rel","medium-loss-magnitude","low","Q is absolute mAP gap; rel is gap/GPU AP"
"411","tab:single-stream AP_large row: ""$+0.001$ ($+0.2\%$ $p=0.92$)""","rev7_single_stream.csv","Q_large_abs_and_rel","large-loss-near-zero-claim","high","SEMANTIC-LOCK: changing sign or making magnitude non-negligible refutes ""large unaffected"" narrative"
"416","§5.1 prose: ""$-47\%$ on small ... ($+0.2\%$ n.s.) on large""","rev7_single_stream.csv","rel_AP_size_stratified_NPU_minus_GPU","size-stratified-Q-claim","high","SEMANTIC-LOCK on the three-size narrative"
"543","§5.3 prose: ""$+25\%$ at L1_light ($0.105$ vs $0.084$) and $+23\%$ at L2_LM ($0.065$ vs $0.053$)""","rev7_main_cmp.csv","SA_vs_SBR_worst_sAP_by_bg","inversion-magnitude","high","SEMANTIC-LOCK on C1 (reversal); if numbers fall to zero the C1 inversion claim breaks"
"545","§5.3 prose: ""$+0.021$ ($-0.008$ mAP) ... entire gain is latency-contention""","rev7_main_cmp.csv","SA_vs_Naive_worst_sAP_and_mAP_L1","latency-vs-quality-attribution","medium","Decomposition claim of where gain comes from"
"584","§6 prose: ""$+0.021$ but mean sAP by only $+0.012$ -- $\sim1.75\times$""","rev7_main_cmp.csv","SA_minus_Naive_worst_and_mean_L1","worst-vs-mean-gain-ratio","medium","Concrete ratio number"
"622","tab:capacity N=8 row: ""0.055 / 0.061 / 0.081 / 0.083""","rev7_capacity.csv","N8_L1_strategies_worst_sAP","capacity-saturation-numbers","medium","Recommend the row replacement directly"
"656","tab:natural A row N=8 L1: ""0.057 / 0.083 / 0.082 / 0.080 / 0.083""","rev7_natural.csv","Comp_A_N8_L1_strategies_worst_sAP","natural-table-row","low","Direct row substitution"
"792","tab:decomposition caption: ""$97\%$ of the residual loss is INT8 quantization""","rev7_decomp.csv","quant_share_of_NPU_loss","quantization-dominance-on-NPU-path","high","SEMANTIC-LOCK"
"799","tab:decomposition row: ""Quantization (GPU L0 to NPU L0 N=1) $-0.031$ $97\%$""","rev7_decomp.csv","quant_delta_and_share","quantization-row-numbers","high","Direct row substitution"
"837","Limitations: ""$0.083$ worst-stream sAP at $N=8$""","rev7_capacity.csv","AllNPU_N8_L1_worst_sAP","saturation-ceiling-value","low","Single-number direct"
"851","§8 conclusion: ""$1.75$--$3.5\times$ larger in worst-stream""","rev7_main_cmp.csv","worst_mean_ratio_range","worst-mean-gap-magnitude","medium","redundant with abstract"
"562","tab:schedule-shift L0 row: ""0.115 0.109 0.084 ... 0.073 0.088 0.083""","rev7_schedule.csv","N4_N8_L0_strategies","schedule-shift-row","low","Direct substitution"
"563","tab:schedule-shift L1_light row","rev7_schedule.csv","N4_N8_L1_light_strategies","schedule-shift-row","low","Direct substitution"
"566","tab:schedule-shift L3_VLM row: ""0.017 0.017 $\textbf{0.084}$ ... 0.013 0.019 $\textbf{0.083}$""","rev7_schedule.csv","N4_N8_L3_vlm_strategies","schedule-shift-L3-collapse","medium","L3 GPU collapse is part of the narrative"
